template,N,mean,std,corr_z
wise_w1_medcov_log1p,183527,3.544568037866103,0.3818546072482013,0.003873957320583741
wise_w2_medcov_log1p,183527,3.535233470169225,0.3937879713323754,0.0035159811535127984
wise_w1_mincov,183527,0.5390461512475003,1.542143626094712,-0.000284962695504812
wise_w2_mincov,183527,2.1889713884060655,5.487436754318857,-0.0005206539530416209
wise_w1_lowcov_log1p,183527,0.0049943673330310155,0.00547720261844353,-0.00328039257593078
wise_w2_lowcov_log1p,183527,0.005192932335023575,0.068638040601521,-0.0015315634961094225
wise_w1_w2_medcov_diff,183527,0.1684886474469696,1.4727151642215617,0.0017402428780228072
gaia_dr3_density_hpx4_log1p,183527,4.530150158089243,0.79515976181679,-0.0015646978606454664
ebv_sfd,183527,0.05477517221742433,0.05379518930857737,0.0011919544297223574
selection_T,183527,0.6410138208697369,0.3725999534947699,-0.009486669369671366
random_density_log1p,183527,5.306967613257694,0.22890107203783056,0.00025123308612096497
gaia_scan_count_log1p_dr3,183527,3.830537575537661,0.3728240598158101,0.0074295893233963465
gaia_scan_angle_resultant_dr3,183527,0.3000561763386678,0.1754685826048169,0.00013433775649839967
w1_w2,183527,1.1932949534782349,0.15305524691288636,0.3482286111648956
