"artifact","bytes","sha256","source","note"
"github_export/code/quaia_su2/analyze_su2_quaia_colour_decomposition_gate_2026-07-15.py","15363","7a1a66c415baca567484fa18f096c8b2b0f406d25e16ab020ea3f00fda41bcb7","outputs/analyze_su2_quaia_colour_decomposition_gate_2026-07-15.py","Reproduction script for colour-decomposition matched-quality gate."
"github_export/code/quaia_su2/analyze_su2_quaia_matched_quality_gate_2026-07-15.py","30510","0ce92b635e5a4bd8646456d333a61fdc9128776fe7711cfa4fee4fc52353e5b9","outputs/analyze_su2_quaia_matched_quality_gate_2026-07-15.py","Reproduction script for matched catalogue-quality gate."
"github_export/results/2026-07-15/su2_quaia/su2_quaia_colour_decomposition_gate_balance_2026-07-15.csv","37261","4f1bf534021b94fac278e566c450a6f140d79ef23d98de959c76f9a5e8ee036f","plamb_runs/diagnostics/su2_quaia_colour_decomposition_gate_20260715","Colour-decomposition matched-quality gate result artefact."
"github_export/results/2026-07-15/su2_quaia/su2_quaia_colour_decomposition_gate_config_2026-07-15.json","4090","3a00268126095d7ecbe518f8d5ae2515d5eb1c7839d1b0ee408ba53e69bd7af4","plamb_runs/diagnostics/su2_quaia_colour_decomposition_gate_20260715","Colour-decomposition matched-quality gate result artefact."
"github_export/results/2026-07-15/su2_quaia/su2_quaia_colour_decomposition_gate_fit_rows_2026-07-15.csv","36641","a347e5d27336c4e64b6f6ab575968aa81c27164a2428f40515b7c2de4226d3ec","plamb_runs/diagnostics/su2_quaia_colour_decomposition_gate_20260715","Colour-decomposition matched-quality gate result artefact."
"github_export/results/2026-07-15/su2_quaia/su2_quaia_colour_decomposition_gate_mock_summary_2026-07-15.csv","1396459","0293f795485917ef5799d16d50efd9838fb051067fc6ccf1332684c3c144ba17","plamb_runs/diagnostics/su2_quaia_colour_decomposition_gate_20260715","300 redshift-shuffle null rows per decomposition group; included because file is small enough for direct audit."
"github_export/results/2026-07-15/su2_quaia/su2_quaia_colour_decomposition_gate_pvalues_2026-07-15.csv","6862","f8931af13c4960872961d0122c99bdc533509494b6c22210cf48c684738d1d73","plamb_runs/diagnostics/su2_quaia_colour_decomposition_gate_20260715","Colour-decomposition matched-quality gate result artefact."
"github_export/results/2026-07-15/su2_quaia/su2_quaia_colour_decomposition_gate_ranked_suppressors_2026-07-15.csv","4004","ee0e74c4346f8d4088fa5ebab23109d592006a0d8550d7dd2df5165a117aff7d","plamb_runs/diagnostics/su2_quaia_colour_decomposition_gate_20260715","Colour-decomposition matched-quality gate result artefact."
"github_export/results/2026-07-15/su2_quaia/su2_quaia_colour_decomposition_gate_readout_2026-07-15.md","2129","b82e991f0858f2f55499e55bf65dc652b5a5180ed4671e2f9931b289e4744aa9","plamb_runs/diagnostics/su2_quaia_colour_decomposition_gate_20260715","Colour-decomposition matched-quality gate result artefact."
"github_export/results/2026-07-15/su2_quaia/su2_quaia_colour_decomposition_gate_report_2026-07-15.md","7408","b8faae23a6597c839d0624865906789378eeeaa4daa4a058fab5d239cc4176ad","plamb_runs/diagnostics/su2_quaia_colour_decomposition_gate_20260715","Colour-decomposition matched-quality gate result artefact."
"github_export/results/2026-07-15/su2_quaia/su2_quaia_colour_decomposition_gate_summary_2026-07-15.csv","7242","03426b56d14290aac249ba842c7a8886cac127d80c581f45f5995c568341f7cd","plamb_runs/diagnostics/su2_quaia_colour_decomposition_gate_20260715","Colour-decomposition matched-quality gate result artefact."
"github_export/results/2026-07-15/su2_quaia/su2_quaia_matched_quality_gate_balance_2026-07-15.csv","15660","f9942ea803be90f7b5cdc87494eb1ea9c3009eef55c1f0bd4b9615c90bc3372b","plamb_runs/diagnostics/su2_quaia_matched_quality_gate_20260715","Matched catalogue-quality gate result artefact."
