run_date,model_family,frame,datasets,offset_mode,offset_design_note,prior_config,H0,alpha,alpha_label,N,k_offsets,data_chi2,prior_chi2,posterior_objective,chi2_dof_data,bic_base,profiled_rms_mag,max_abs_offset_pull_sigma,path_distance,luminosity_distance,physics_note
2026-07-16T20:06:28,FR_C1PZ_NOLOSS,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,none,no nuisance offsets,none,67.5,0.0,alpha0_no_extra_dimming,3422,0,4227.901691317376,0.0,4227.901691317376,1.235506046556802,4227.901691317376,0.23885260879265985,,(c/H0) * z * (1 + z/2),(c/H0) * z * (1 + z/2) * (1+z)^alpha,No post-emission photon energy loss; alpha controls any residual flux/time-rate dimming factor applied to the flat c(z)=c0(1+z) path.
2026-07-16T20:06:28,FR_C1PZ_NOLOSS,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,none,no nuisance offsets,none,67.5,0.5,alpha0p5_one_flux_factor,3422,0,35139.74410537802,0.0,35139.74410537802,10.268773847275869,35139.74410537802,0.44214851280957546,,(c/H0) * z * (1 + z/2),(c/H0) * z * (1 + z/2) * (1+z)^alpha,No post-emission photon energy loss; alpha controls any residual flux/time-rate dimming factor applied to the flat c(z)=c0(1+z) path.
2026-07-16T20:06:28,FR_C1PZ_NOLOSS,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,none,no nuisance offsets,none,67.5,1.0,alpha1_two_flux_factors,3422,0,120717.51981820802,0.0,120717.51981820802,35.276890654064296,120717.51981820802,0.7879803929236996,,(c/H0) * z * (1 + z/2),(c/H0) * z * (1 + z/2) * (1+z)^alpha,No post-emission photon energy loss; alpha controls any residual flux/time-rate dimming factor applied to the flat c(z)=c0(1+z) path.
2026-07-16T20:06:28,FR_C1PZ_NOLOSS,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+idsurvey,20 nuisance offset columns,budget_025mmag_ds050,67.5,0.0,alpha0_no_extra_dimming,3422,20,3180.9835594637234,168.7230884769437,3349.706647940667,0.9295685445539811,3349.706647940667,0.22499678610407162,5.450038805468701,(c/H0) * z * (1 + z/2),(c/H0) * z * (1 + z/2) * (1+z)^alpha,No post-emission photon energy loss; alpha controls any residual flux/time-rate dimming factor applied to the flat c(z)=c0(1+z) path.
2026-07-16T20:06:28,FR_C1PZ_NOLOSS,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+idsurvey,20 nuisance offset columns,budget_025mmag_ds050,67.5,0.5,alpha0p5_one_flux_factor,3422,20,5421.1502816524835,1460.556977416731,6881.707259069214,1.5842052254975112,6881.707259069214,0.27223326511677076,15.609987010686758,(c/H0) * z * (1 + z/2),(c/H0) * z * (1 + z/2) * (1+z)^alpha,No post-emission photon energy loss; alpha controls any residual flux/time-rate dimming factor applied to the flat c(z)=c0(1+z) path.
2026-07-16T20:06:28,FR_C1PZ_NOLOSS,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+idsurvey,20 nuisance offset columns,budget_025mmag_ds050,67.5,1.0,alpha1_two_flux_factors,3422,20,11994.693141792626,4473.469242428935,16468.162384221563,3.5051704096413285,16468.162384221563,0.3712979177740832,31.702191068005803,(c/H0) * z * (1 + z/2),(c/H0) * z * (1 + z/2) * (1+z)^alpha,No post-emission photon energy loss; alpha controls any residual flux/time-rate dimming factor applied to the flat c(z)=c0(1+z) path.
2026-07-16T20:06:30,FR_C1PZ_NOLOSS,HEL,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,none,no nuisance offsets,none,67.5,0.0,alpha0_no_extra_dimming,3418,0,4173.705514868556,0.0,4173.705514868556,1.2210958206168976,4173.705514868556,0.23789729036223206,,(c/H0) * z * (1 + z/2),(c/H0) * z * (1 + z/2) * (1+z)^alpha,No post-emission photon energy loss; alpha controls any residual flux/time-rate dimming factor applied to the flat c(z)=c0(1+z) path.
2026-07-16T20:06:30,FR_C1PZ_NOLOSS,HEL,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,none,no nuisance offsets,none,67.5,0.5,alpha0p5_one_flux_factor,3418,0,35224.12331974476,0.0,35224.12331974476,10.305477858322048,35224.12331974476,0.4449708696762571,,(c/H0) * z * (1 + z/2),(c/H0) * z * (1 + z/2) * (1+z)^alpha,No post-emission photon energy loss; alpha controls any residual flux/time-rate dimming factor applied to the flat c(z)=c0(1+z) path.
2026-07-16T20:06:30,FR_C1PZ_NOLOSS,HEL,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,none,no nuisance offsets,none,67.5,1.0,alpha1_two_flux_factors,3418,0,120965.82398339387,0.0,120965.82398339387,35.39082035792682,120965.82398339387,0.7920902407380225,,(c/H0) * z * (1 + z/2),(c/H0) * z * (1 + z/2) * (1+z)^alpha,No post-emission photon energy loss; alpha controls any residual flux/time-rate dimming factor applied to the flat c(z)=c0(1+z) path.
2026-07-16T20:06:31,FR_C1PZ_NOLOSS,HEL,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+idsurvey,20 nuisance offset columns,budget_025mmag_ds050,67.5,0.0,alpha0_no_extra_dimming,3418,20,3201.1716488815046,149.0903223385386,3350.261971220043,0.9365627995557356,3350.261971220043,0.22562153767386695,5.045631076905049,(c/H0) * z * (1 + z/2),(c/H0) * z * (1 + z/2) * (1+z)^alpha,No post-emission photon energy loss; alpha controls any residual flux/time-rate dimming factor applied to the flat c(z)=c0(1+z) path.
