"artifact","bytes","sha256","source","note"
"github_export/results/2026-07-16/su2_quaia/su2_quaia_overabsorption_probe_2026-07-16_amplitude_summary.csv","1438","93d6cb70c0139a872b26e0960d38755e209211e68aa24bd72e26bf300263802c","outputs/su2_quaia_overabsorption_probe_2026-07-16_amplitude_summary.csv","SU2/Quaia July 16 audit result or provenance artefact; see the named submanifest where present."
"github_export/results/2026-07-16/su2_quaia/su2_quaia_overabsorption_probe_2026-07-16_category_amplitude_summary.csv","4035","3c8c3bdc23be0b62252fe8ff70f7728ddff286bbaf8fed88173e6cd52d857b9e","outputs/su2_quaia_overabsorption_probe_2026-07-16_category_amplitude_summary.csv","SU2/Quaia July 16 audit result or provenance artefact; see the named submanifest where present."
"github_export/results/2026-07-16/su2_quaia/su2_quaia_overabsorption_probe_2026-07-16_condition_summary.csv","8678","884fe57e3f0d7f04af768cd4432a93d1be93d89443b982419ba6de1ec7bda7c4","outputs/su2_quaia_overabsorption_probe_2026-07-16_condition_summary.csv","SU2/Quaia July 16 audit result or provenance artefact; see the named submanifest where present."
"github_export/results/2026-07-16/su2_quaia/su2_quaia_overabsorption_probe_2026-07-16_manifest.csv","2825","c8dc9f5dbf90d07b084728aa3e854c931f75821d1b4a6a6bb353b9a8d596ace5","outputs/su2_quaia_overabsorption_probe_2026-07-16_manifest.csv","SU2/Quaia July 16 audit result or provenance artefact; see the named submanifest where present."
"github_export/results/2026-07-16/su2_quaia/su2_quaia_overabsorption_probe_2026-07-16_readout.md","1670","836141a73b14a501662c64e9d6b9f6679ff9d82e5ec32f57e07755097095480c","outputs/su2_quaia_overabsorption_probe_2026-07-16_readout.md","SU2/Quaia July 16 audit result or provenance artefact; see the named submanifest where present."
"github_export/results/2026-07-16/su2_quaia/su2_quaia_overabsorption_probe_2026-07-16_report.md","8139","df25e75ac4e94ba5e90f38b476c4c45955694f287be42d39f1c8647990b8006b","outputs/su2_quaia_overabsorption_probe_2026-07-16_report.md","SU2/Quaia July 16 audit result or provenance artefact; see the named submanifest where present."
"github_export/results/2026-07-16/su2_quaia/su2_quaia_overabsorption_probe_2026-07-16_top_bic_false_negatives.csv","2904","b4ad574b4bad2d45b755e191d1d478373179a1d819bfabfe5f13b67c823c8c93","outputs/su2_quaia_overabsorption_probe_2026-07-16_top_bic_false_negatives.csv","SU2/Quaia July 16 audit result or provenance artefact; see the named submanifest where present."
"github_export/results/2026-07-16/su2_quaia/su2_quaia_spatial_block_collinearity_config_2026-07-16.json","873","9bb4ea553b3ee0fd52689d4b73c69e3377b6b07c6d96f968a56cdedd6f418bd6","outputs/su2_quaia_spatial_block_collinearity_config_2026-07-16.json","SU2/Quaia July 16 audit result or provenance artefact; see the named submanifest where present."
"github_export/results/2026-07-16/su2_quaia/su2_quaia_spatial_block_collinearity_manifest_2026-07-16.csv","1611","13426bb9752debbeffd75e0abb35dfea95614c651a6459ed9dcb4a8c417bd6e9","outputs/su2_quaia_spatial_block_collinearity_manifest_2026-07-16.csv","SU2/Quaia July 16 audit result or provenance artefact; see the named submanifest where present."
"github_export/results/2026-07-16/su2_quaia/su2_quaia_spatial_block_collinearity_readout_2026-07-16.md","767","841d1874e2948f82b6ff0751964b1256aa83238c9d06fd2a0f3889a575fd1db7","outputs/su2_quaia_spatial_block_collinearity_readout_2026-07-16.md","SU2/Quaia July 16 audit result or provenance artefact; see the named submanifest where present."
