system,candidate_id,active_count,active_couplings,active_values_json,full_column_rank,matrix_rank,constraint_count,maximum_constraint_residual,L1_exponent_norm,L2_exponent_norm,maximum_absolute_exponent,minimum_singular_value,condition_number,maximum_active_endpoint_change_factor,atomic_Q_final_exponent,spectroscopic_redshift_exponent,supernova_composite_s,duration_b_predicted,duration_tension_sigma,time_dilation_gate_pass,Q_endpoint_ratio,spectral_endpoint_ratio,photon_distance_endpoint_ratio,source_luminosity_endpoint_ratio,maximum_dimensionless_endpoint_change_factor,supernova_reference_delta_BIC_vs_flat_LCDM,supernova_gate_pass,action_level_model_supplied,promotion_gate_pass,h_exponent,G_exponent,m_p_exponent,m_e_exponent,alpha_exponent,atomic_Q_exponent,M_Ch_exponent,source_luminosity_exponent,opacity_exponent,diffusion_time_exponent,me_over_mp_exponent,proton_gravity_coupling_exponent,proton_gravity_coupling_delta_exponent,alpha_endpoint_ratio,me_over_mp_endpoint_ratio,proton_gravity_endpoint_ratio_relative_to_baseline,dimensionless_drift_warning,time_dilation_evaluated
stated_phenomenology,stated_phenomenology:delta_Q_atomic+tau_photon_distance,2,delta_Q_atomic;tau_photon_distance,"{""delta_Q_atomic"": 1.0, ""tau_photon_distance"": 0.037604901114341276}",True,2,2,0.0,1.0376049011143413,1.0007068145005407,1.0,1.0,1.0,3.2622599999999995,0.0,1.0,0.037604901114341276,1.0,0.26832815729996506,True,1.0,1.0,1.0454681703028152,1.0,1.0,83.76092105304724,False,False,False,,,,,,,,,,,,,,,,,,
stated_phenomenology,stated_phenomenology:sigma_spectral+tau_photon_distance,2,sigma_spectral;tau_photon_distance,"{""sigma_spectral"": -1.0, ""tau_photon_distance"": 0.037604901114341276}",True,2,2,0.0,1.0376049011143413,1.0007068145005407,1.0,1.0,1.0,3.2622599999999995,-1.0,1.0,0.037604901114341276,1.0,0.26832815729996506,True,0.3065359597334364,0.3065359597334364,1.0454681703028152,1.0,3.2622599999999995,83.76092105304724,False,False,False,,,,,,,,,,,,,,,,,,
stated_phenomenology,stated_phenomenology:delta_Q_atomic+ell_source,2,delta_Q_atomic;ell_source,"{""delta_Q_atomic"": 1.0, ""ell_source"": -0.07520980222868255}",True,2,2,0.0,1.0752098022286825,1.0028242689281495,1.0,0.5,2.0,3.2622599999999995,0.0,1.0,0.037604901114341276,1.0,0.26832815729996506,True,1.0,1.0,1.0,0.9149099902114981,1.0,83.76092105304724,False,False,False,,,,,,,,,,,,,,,,,,
stated_phenomenology,stated_phenomenology:sigma_spectral+ell_source,2,sigma_spectral;ell_source,"{""ell_source"": -0.07520980222868255, ""sigma_spectral"": -1.0}",True,2,2,0.0,1.0752098022286825,1.0028242689281495,1.0,0.5,2.0,3.2622599999999995,-1.0,1.0,0.037604901114341276,1.0,0.26832815729996506,True,0.3065359597334364,0.3065359597334364,1.0,0.9149099902114981,3.2622599999999995,83.76092105304724,False,False,False,,,,,,,,,,,,,,,,,,
microscopic_closure,microscopic_closure:delta_alpha+tau_photon_distance,2,delta_alpha;tau_photon_distance,"{""delta_alpha"": -0.5, ""tau_photon_distance"": 1.7876049011143413}",True,2,2,0.0,2.2876049011143413,1.8562142339956382,1.7876049011143413,1.0,2.0,8.27881760372332,,1.0,0.03760490111434134,1.75,66.81371116769373,False,,,,,1.8061727492130975,83.76092105304724,False,False,False,0.0,0.0,-1.0,-1.0,-0.5,0.0,3.5,3.5,0.0,0.75,0.0,-3.0,0.0,0.5536568971244162,1.0,1.0,True,False
microscopic_closure,microscopic_closure:delta_m_p+delta_alpha,2,delta_m_p;delta_alpha,"{""delta_alpha"": -0.5, ""delta_m_p"": 1.7876049011143413}",True,2,2,0.0,2.2876049011143413,1.8562142339956382,1.7876049011143413,1.0,2.0,8.27881760372332,,1.0,0.03760490111434134,-0.931407351671512,173.01865338051368,False,,,,,68.53882091571913,83.76092105304724,False,False,False,0.0,0.0,0.7876049011143413,-1.0,-0.5,0.0,-0.07520980222868268,-0.07520980222868268,-1.7876049011143413,-1.931407351671512,-1.7876049011143413,0.5752098022286827,3.5752098022286827,0.5536568971244162,0.12079019587896941,68.53882091571913,True,False
microscopic_closure,microscopic_closure:delta_m_e+tau_photon_distance,2,delta_m_e;tau_photon_distance,"{""delta_m_e"": -1.0, ""tau_photon_distance"": 1.7876049011143413}",True,2,2,0.0,2.7876049011143413,2.0482996075984623,1.7876049011143413,1.0,1.0,8.27881760372332,,1.0,0.03760490111434134,3.25,200.9777898176811,False,,,,,3.2622599999999995,83.76092105304724,False,False,False,0.0,0.0,-1.0,-2.0,0.0,0.0,3.5,3.5,3.0,2.25,-1.0,-3.0,0.0,1.0,0.3065359597334364,1.0,True,False
microscopic_closure,microscopic_closure:delta_m_p+delta_m_e,2,delta_m_p;delta_m_e,"{""delta_m_e"": -1.0, ""delta_m_p"": 1.7876049011143413}",True,2,2,0.0,2.7876049011143413,2.0482996075984623,1.7876049011143413,1.0,1.0,8.27881760372332,,1.0,0.03760490111434134,0.568592648328488,38.8545747305263,False,,,,,68.53882091571913,83.76092105304724,False,False,False,0.0,0.0,0.7876049011143413,-2.0,0.0,0.0,-0.07520980222868268,-0.07520980222868268,1.2123950988856587,-0.431407351671512,-2.7876049011143413,0.5752098022286827,3.5752098022286827,1.0,0.037026538620149665,68.53882091571913,True,False
microscopic_closure,microscopic_closure:delta_m_p+sigma_spectral,2,delta_m_p;sigma_spectral,"{""delta_m_p"": 1.7876049011143413, ""sigma_spectral"": 1.0}",True,2,2,0.0,2.7876049011143413,2.0482996075984623,1.7876049011143413,1.0,1.0,8.27881760372332,,1.0,0.03760490111434134,-0.431407351671512,128.29729383051787,False,,,,,68.53882091571913,83.76092105304724,False,False,False,0.0,0.0,0.7876049011143413,-1.0,0.0,1.0,-0.07520980222868268,-0.07520980222868268,-0.7876049011143413,-1.431407351671512,-1.7876049011143413,0.5752098022286827,3.5752098022286827,1.0,0.12079019587896941,68.53882091571913,True,False
microscopic_closure,microscopic_closure:sigma_spectral+tau_photon_distance,2,sigma_spectral;tau_photon_distance,"{""sigma_spectral"": 1.0, ""tau_photon_distance"": 1.7876049011143413}",True,2,2,0.0,2.7876049011143413,2.0482996075984623,1.7876049011143413,1.0,1.0,8.27881760372332,,1.0,0.03760490111434134,2.25,111.53507071768952,False,,,,,1.0,83.76092105304724,False,False,False,0.0,0.0,-1.0,-1.0,0.0,1.0,3.5,3.5,1.0,1.25,0.0,-3.0,0.0,1.0,1.0,1.0,False,False
