removed_galaxy,leave_one_out_rho,change_from_full_rho,same_sign_as_full
UGC00634,-0.3471590909090909,-0.03990515081932988,True
UGC00731,-0.27749125874125874,0.029762681348502296,True
UGC11914,-0.3361451048951049,-0.028891164805343872,True
F583-1,-0.27972027972027974,0.027533660369481294,True
ESO079-G014,-0.28006993006993003,0.027184010019831006,True
NGC5033,-0.3339160839160839,-0.02666214382632287,True
NGC5371,-0.2808129370629371,0.02644100302682395,True
UGC12732,-0.33308566433566433,-0.025831724245903298,True
DDO170,-0.2825611888111888,0.024692751278572234,True
D512-2,-0.2836101398601399,0.023643800229621148,True
NGC3893,-0.28732517482517483,0.0199287652645862,True
UGC06628,-0.32657342657342653,-0.019319486483665493,True
NGC1090,-0.28854895104895106,0.01870498904080997,True
UGC07089,-0.3237762237762238,-0.016522283686462746,True
NGC3726,-0.32316433566433567,-0.01591039557457463,True
UGC03546,-0.2930506993006993,0.01420324078906171,True
NGC4010,-0.3212412587412587,-0.01398731865149766,True
NGC3198,-0.3197115384615385,-0.012457598371777456,True
NGC6015,-0.31918706293706295,-0.011933122847301914,True
UGC07261,-0.29554195804195804,0.011711982047802993,True
NGC3917,-0.3186188811188811,-0.011364941029120057,True
ESO116-G012,-0.3183566433566434,-0.011102703266882341,True
NGC3949,-0.31800699300699303,-0.010753052917231998,True
UGC09992,-0.31774475524475526,-0.010490815154994226,True
NGC3972,-0.31765734265734263,-0.010403402567581599,True
UGC08699,-0.2972027972027972,0.010051142886963849,True
NGC4013,-0.316958041958042,-0.009704101868280968,True
NGC3953,-0.316958041958042,-0.009704101868280968,True
NGC4100,-0.3167832167832168,-0.009529276693455768,True
UGC06818,-0.2979895104895105,0.009264429600250534,True
NGC0289,-0.2979895104895105,0.009264429600250534,True
NGC5907,-0.29851398601398604,0.008739954075774992,True
NGC3877,-0.2986888111888112,0.008565128900949848,True
NGC1003,-0.29895104895104896,0.008302891138712076,True
NGC7331,-0.31551573426573426,-0.008261794175973225,True
UGC00191,-0.31551573426573426,-0.008261794175973225,True
UGC04499,-0.2994318181818182,0.007822121907942847,True
NGC3769,-0.2994318181818182,0.007822121907942847,True
NGC4217,-0.300305944055944,0.006947996033817017,True
NGC7814,-0.3004370629370629,0.006816877152698131,True
UGC06923,-0.3004807692307692,0.006773170858991817,True
NGC4183,-0.31341783216783214,-0.006163892078071109,True
UGC06399,-0.3010926573426574,0.006161282747103647,True
NGC4157,-0.3131118881118881,-0.00585794802212708,True
UGC00891,-0.30170454545454545,0.005549394635215588,True
UGC11557,-0.30174825174825176,0.005505688341509274,True
UGC05716,-0.30201048951048953,0.0052434505792715025,True
NGC4138,-0.31201923076923077,-0.004765290679469736,True
UGC11820,-0.31193181818181814,-0.004677878092057108,True
UGC02023,-0.30284090909090905,0.004413030998851986,True
UGC06983,-0.3029283216783217,0.004325618411439358,True
NGC3992,-0.30314685314685313,0.0041070869429079004,True
NGC5005,-0.30380244755244756,0.003451492537313472,True
UGC05253,-0.3104458041958042,-0.003191864106043163,True
NGC4085,-0.3104458041958042,-0.003191864106043163,True
UGC06446,-0.3100087412587413,-0.0027548011689802476,True
UGC06917,-0.3098339160839161,-0.002579975994155048,True
UGC10310,-0.3095716783216783,-0.002317738231917277,True
UGC06786,-0.3054195804195804,0.0018343596701806408,True
UGC02259,-0.30895979020979025,-0.0017058501200292175,True
NGC4088,-0.30861013986013985,-0.0013561997703788187,True
UGC06667,-0.30830419580419577,-0.0010502557144347335,True
NGC4051,-0.3082167832167832,-0.0009628431270221616,True
UGC06930,-0.3063374125874126,0.0009165275023484409,True
NGC0100,-0.3064248251748252,0.0008291149149358135,True
UGC07125,-0.3069055944055944,0.0003483456841666399,True
